player,train_rows,val_rows,test_rows,status,model_path
Jeff Green,22,5,4,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jeff_Green.pkl
Bradley Beal,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bradley_Beal.pkl
James Harden,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\James_Harden.pkl
Kawhi Leonard,25,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kawhi_Leonard.pkl
Chris Paul,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Chris_Paul.pkl
Kobe Sanders,0,0,0,skipped,
Derrick Jones Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Derrick_Jones_Jr..pkl
Kris Dunn,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kris_Dunn.pkl
Bogdan Bogdanović,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bogdan_Bogdanović.pkl
Brook Lopez,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Brook_Lopez.pkl
Cam Christie,8,2,2,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Cam_Christie.pkl
Yanic Konan Niederhäuser,0,0,0,skipped,
Jahmyl Telfort,0,0,0,skipped,
John Collins,27,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\John_Collins.pkl
Jordan Miller,25,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jordan_Miller.pkl
Kobe Brown,27,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kobe_Brown.pkl
Nicolas Batum,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nicolas_Batum.pkl
Ivica Zubac,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Ivica_Zubac.pkl
Adou Thiero,0,0,0,skipped,
Jarred Vanderbilt,24,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jarred_Vanderbilt.pkl
Dalton Knecht,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dalton_Knecht.pkl
Deandre Ayton,27,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Deandre_Ayton.pkl
Gabe Vincent,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Gabe_Vincent.pkl
Bronny James,18,4,4,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bronny_James.pkl
Christian Koloko,25,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Christian_Koloko.pkl
Jaxson Hayes,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jaxson_Hayes.pkl
Jake LaRavia,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jake_LaRavia.pkl
Maxi Kleber,23,5,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Maxi_Kleber.pkl
Austin Reaves,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Austin_Reaves.pkl
Nick Smith Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nick_Smith_Jr..pkl
